C-ZEITGES-0;C-HCGES-0;F-HF1;F-HF11;F-HF12;F-HF121;F-HF122;F-HF2;F-HF21;F-HF22;F-HF23;F-HF3;F-HF31;F-HF32;F-HF4;F-ALLE_HF
ZEITGES-2004;HC-HC1-HC2;10808.144;3806.276;7001.868;7001.868;0.0;963.953;821.2;142.753;0.0;2133.249;1965.609;167.64;0.0;13905.347
ZEITGES-2004;HC-HC3;2440.161;2427.924;12.236;12.236;0.0;39.711;0.0;39.711;0.0;544.594;544.594;0.0;0.0;3024.465
ZEITGES-2004;HC-HC4;487.615;36.592;451.023;451.023;0.0;133.839;0.0;133.839;0.0;110.471;105.254;5.218;0.0;731.925
ZEITGES-2004;HC-HC5;2604.742;3.82;2600.922;2600.922;0.0;44.169;44.169;0.0;0.0;1673.625;1334.838;338.787;0.0;4322.536
ZEITGES-2004;HC-HC6;378.498;293.059;85.439;85.439;0.0;47.713;0.0;7.916;39.797;79.907;79.907;0.0;0.0;506.117
ZEITGES-2004;HC-HC7;547.5;75.877;471.623;471.623;0.0;492.668;492.668;0.0;0.0;0.0;0.0;0.0;0.0;1040.168
ZEITGES-2004;HC-ALL_HC;17266.659;6643.547;10623.112;10623.112;0.0;1722.053;1358.037;324.22;39.797;4541.846;4030.201;511.645;0.0;23530.559
ZEITGES-2004;HC-HC1;10075.964;3717.351;6358.613;6358.613;0.0;820.389;796.125;24.264;0.0;1753.024;1587.515;165.509;0.0;12649.376
ZEITGES-2004;HC-HC2;732.18;88.925;643.255;643.255;0.0;143.565;25.075;118.49;0.0;380.225;378.094;2.131;0.0;1255.97
ZEITGES-2004;HC-HC11-HC21;6685.07;3021.077;3663.993;3663.993;0.0;847.395;724.315;123.08;0.0;389.861;387.73;2.131;0.0;7922.326
ZEITGES-2004;HC-HC11;6117.568;2985.624;3131.944;3131.944;0.0;723.476;699.24;24.236;0.0;190.663;190.663;0.0;0.0;7031.707
ZEITGES-2004;HC-HC21;567.502;35.453;532.049;532.049;0.0;123.918;25.075;98.843;0.0;199.198;197.067;2.131;0.0;890.618
ZEITGES-2004;HC-HC12-HC22;73.693;37.846;35.847;35.847;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;74.693
ZEITGES-2004;HC-HC12;73.693;37.846;35.847;35.847;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;74.693
ZEITGES-2004;HC-HC13-HC23;4038.924;746.409;3292.514;3292.514;0.0;116.559;96.885;19.674;0.0;1742.388;1576.879;165.509;0.0;5897.87
ZEITGES-2004;HC-HC13;3874.245;692.937;3181.308;3181.308;0.0;96.912;96.885;0.027;0.0;1561.361;1395.852;165.509;0.0;5532.518
ZEITGES-2004;HC-HC131;920.214;98.655;821.559;821.559;0.0;4.528;4.528;0.0;0.0;233.355;154.018;79.337;0.0;1158.097
ZEITGES-2004;HC-HC132;746.82;37.58;709.24;709.24;0.0;48.106;48.106;0.0;0.0;772.309;738.922;33.387;0.0;1567.235
ZEITGES-2004;HC-HC133;2132.802;543.4;1589.402;1589.402;0.0;44.251;44.251;0.0;0.0;395.781;342.997;52.784;0.0;2572.835
ZEITGES-2004;HC-HC139;74.409;13.302;61.106;61.106;0.0;0.027;0.0;0.027;0.0;159.915;159.915;0.0;0.0;234.351
ZEITGES-2004;HC-HC23;164.678;53.472;111.206;111.206;0.0;19.647;0.0;19.647;0.0;181.027;181.027;0.0;0.0;365.352
ZEITGES-2004;HC-HC14-HC24;10.458;0.943;9.515;9.515;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.458
ZEITGES-2004;HC-HC14;10.458;0.943;9.515;9.515;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.458
ZEITGES-2004;HC-HC31;948.741;948.741;0.0;0.0;0.0;0.0;0.0;0.0;0.0;522.992;522.992;0.0;0.0;1471.733
ZEITGES-2004;HC-HC32;5.381;5.381;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.381
ZEITGES-2004;HC-HC34;1486.039;1473.803;12.236;12.236;0.0;39.711;0.0;39.711;0.0;21.601;21.601;0.0;0.0;1547.351
ZEITGES-2004;HC-HC41;110.616;0.043;110.573;110.573;0.0;0.0;0.0;0.0;0.0;34.226;34.226;0.0;0.0;144.842
ZEITGES-2004;HC-HC42;176.144;0.112;176.032;176.032;0.0;0.0;0.0;0.0;0.0;54.487;54.487;0.0;0.0;230.631
ZEITGES-2004;HC-HC43;200.854;36.436;164.418;164.418;0.0;133.839;0.0;133.839;0.0;21.759;16.541;5.218;0.0;356.453
ZEITGES-2004;HC-HC51;2141.016;0.0;2141.016;2141.016;0.0;10.774;10.774;0.0;0.0;979.662;648.103;331.559;0.0;3131.451
ZEITGES-2004;HC-HC511;2141.016;0.0;2141.016;2141.016;0.0;3.646;3.646;0.0;0.0;331.559;0.0;331.559;0.0;2476.221
ZEITGES-2004;HC-HC512;0.0;0.0;0.0;0.0;0.0;6.44;6.44;0.0;0.0;585.558;585.558;0.0;0.0;591.998
ZEITGES-2004;HC-HC513;0.0;0.0;0.0;0.0;0.0;0.688;0.688;0.0;0.0;62.545;62.545;0.0;0.0;63.233
ZEITGES-2004;HC-HC52;463.726;3.82;459.906;459.906;0.0;33.395;33.395;0.0;0.0;693.964;686.735;7.229;0.0;1191.085
ZEITGES-2004;HC-HC71;53.208;53.208;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;53.208
ZEITGES-2004;HC-HC72;494.292;22.669;471.623;471.623;0.0;492.668;492.668;0.0;0.0;0.0;0.0;0.0;0.0;986.96
ZEITGES-2004;HC-ALLE_HC;17266.659;6643.547;10623.112;10623.112;0.0;1722.053;1358.037;324.22;39.797;4541.846;4030.201;511.645;0.0;23530.559
ZEITGES-2005;HC-HC1-HC2;11422.546;4069.188;7353.358;7353.358;0.0;973.683;832.78;140.903;0.0;2234.169;2074.766;159.402;0.0;14630.398
ZEITGES-2005;HC-HC3;2546.644;2534.074;12.57;12.57;0.0;48.996;0.0;48.996;0.0;573.659;573.659;0.0;0.0;3169.299
ZEITGES-2005;HC-HC4;502.239;42.475;459.765;459.765;0.0;147.24;0.0;147.24;0.0;109.372;103.762;5.61;0.0;758.851
ZEITGES-2005;HC-HC5;2630.353;3.524;2626.829;2626.829;0.0;48.135;48.135;0.0;0.0;1685.217;1338.482;346.735;0.0;4363.704
ZEITGES-2005;HC-HC6;395.938;295.609;100.329;100.329;0.0;49.365;0.0;8.563;40.802;89.786;89.786;0.0;0.0;535.089
ZEITGES-2005;HC-HC7;596.58;72.307;524.272;524.272;0.0;405.957;405.957;0.0;0.0;0.0;0.0;0.0;0.0;1002.537
ZEITGES-2005;HC-ALL_HC;18094.3;7017.177;11077.123;11077.123;0.0;1673.376;1286.872;345.701;40.802;4692.202;4180.455;511.747;0.0;24459.878
ZEITGES-2005;HC-HC1;10636.138;3973.146;6662.992;6662.992;0.0;827.856;806.436;21.42;0.0;1845.311;1687.865;157.446;0.0;13309.305
ZEITGES-2005;HC-HC2;786.408;96.042;690.366;690.366;0.0;145.827;26.344;119.483;0.0;388.858;386.902;1.956;0.0;1321.092
ZEITGES-2005;HC-HC11-HC21;7089.304;3227.334;3861.97;3861.97;0.0;853.24;730.08;123.16;0.0;398.246;396.29;1.956;0.0;8340.79
ZEITGES-2005;HC-HC11;6474.367;3186.922;3287.445;3287.445;0.0;723.714;703.736;19.978;0.0;210.131;210.131;0.0;0.0;7408.212
ZEITGES-2005;HC-HC21;614.938;40.412;574.525;574.525;0.0;129.526;26.344;103.182;0.0;188.115;186.159;1.956;0.0;932.578
ZEITGES-2005;HC-HC12-HC22;82.752;42.964;39.788;39.788;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;83.752
ZEITGES-2005;HC-HC12;82.752;42.964;39.788;39.788;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;83.752
ZEITGES-2005;HC-HC13-HC23;4237.21;797.683;3439.528;3439.528;0.0;120.443;102.7;17.743;0.0;1834.923;1677.476;157.446;0.0;6192.576
ZEITGES-2005;HC-HC13;4065.74;742.052;3323.688;3323.688;0.0;104.142;102.7;1.442;0.0;1634.18;1476.733;157.446;0.0;5804.062
ZEITGES-2005;HC-HC131;972.358;100.214;872.145;872.145;0.0;5.95;5.95;0.0;0.0;243.952;178.734;65.218;0.0;1222.26
ZEITGES-2005;HC-HC132;744.141;36.891;707.25;707.25;0.0;49.899;49.899;0.0;0.0;807.075;773.916;33.159;0.0;1601.115
ZEITGES-2005;HC-HC133;2292.892;591.247;1701.646;1701.646;0.0;46.851;46.851;0.0;0.0;404.813;345.743;59.07;0.0;2744.556
ZEITGES-2005;HC-HC139;56.348;13.701;42.647;42.647;0.0;1.442;0.0;1.442;0.0;178.34;178.34;0.0;0.0;236.13
ZEITGES-2005;HC-HC23;171.47;55.63;115.84;115.84;0.0;16.301;0.0;16.301;0.0;200.743;200.743;0.0;0.0;388.514
ZEITGES-2005;HC-HC14-HC24;13.28;1.208;12.073;12.073;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.28
ZEITGES-2005;HC-HC14;13.28;1.208;12.073;12.073;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.28
