Gesundheitsleistungen_Güter (HC);HF.1 Finanzierungssystem Staat und verpflichtende Beitragssysteme der Gesundheitsfinanzierung;HF.1.1 Finanzierungssystem Staat;HF.1.2 Verpflichtende Beitragssysteme: Krankenversicherungssysteme;HF.1.2.1 Finanzierungssystem Sozialversicherungsträger;HF.1.2.2 Verpflichtende private Krankenversicherungssysteme;HF.2 Freiwillige Systeme der Gesundheitsfinanzierung;HF.2.1 Freiwillige Krankenversicherungssysteme;HF.2.2 Finanzierungssystem Private Organisationen ohne Erwerbszweck;HF.2.3 Finanzierungssystem Unternehmen;HF.3 Selbstzahlungen der privaten Haushalte;HF.3.1 Selbstzahlungen ohne Selbstbehalte;HF.3.2 Selbstbehalte (Kostenteilung mit Dritten);HF.4 Finanzierungssystem übrige Welt;Alle HF - Alle Finanzierungssysteme
HC.1+HC.2 Leistungen der kurativen und rehabilitativen Gesundheitsversorgung;10808,144;3806,276;7001,868;7001,868;0,000;963,953;821,200;142,753;0,000;2133,249;1965,609;167,640;0,000;13905,347
HC.3 Langzeitpflege;2440,161;2427,924;12,236;12,236;0,000;39,711;0,000;39,711;0,000;544,594;544,594;0,000;0,000;3024,465
HC.4 Hilfsleistungen der Gesundheitsversorgung;487,615;36,592;451,023;451,023;0,000;133,839;0,000;133,839;0,000;110,471;105,254;5,218;0,000;731,925
HC.5 Medizinische Güter;2604,742;3,820;2600,922;2600,922;0,000;44,169;44,169;0,000;0,000;1673,625;1334,838;338,787;0,000;4322,536
HC.6 Prävention;378,498;293,059;85,439;85,439;0,000;47,713;0,000;7,916;39,797;79,907;79,907;0,000;0,000;506,117
HC.7 Verwaltung der Gesundheitsversorgung und Gesundheitssystemfinanzierung;547,500;75,877;471,623;471,623;0,000;492,668;492,668;0,000;0,000;0,000;0,000;0,000;0,000;1040,168
Alle HC - Alle Gesundheitsleistungen und -güter;17266,659;6643,547;10623,112;10623,112;0,000;1722,053;1358,037;324,220;39,797;4541,846;4030,201;511,645;0,000;23530,559
HC.1 Leistungen der kurativen Gesundheitsversorgung;10075,964;3717,351;6358,613;6358,613;0,000;820,389;796,125;24,264;0,000;1753,024;1587,515;165,509;0,000;12649,376
HC.2 Leistungen der rehabilitativen Gesundheitsversorgung;732,180;88,925;643,255;643,255;0,000;143,565;25,075;118,490;0,000;380,225;378,094;2,131;0,000;1255,970
HC.1.1+HC.2.1 Stationäre kurative und rehabilitative Gesundheitsversorgung;6685,070;3021,077;3663,993;3663,993;0,000;847,395;724,315;123,080;0,000;389,861;387,730;2,131;0,000;7922,326
HC.1.1 Stationäre kurative Gesundheitsversorgung;6117,568;2985,624;3131,944;3131,944;0,000;723,476;699,240;24,236;0,000;190,663;190,663;0,000;0,000;7031,707
HC.2.1 Stationäre rehabilitative Gesundheitsversorgung;567,502;35,453;532,049;532,049;0,000;123,918;25,075;98,843;0,000;199,198;197,067;2,131;0,000;890,618
HC.1.2+HC.2.2 Tagesfälle der kurativen und rehabilitativen Gesundheitsversorgung;73,693;37,846;35,847;35,847;0,000;0,000;0,000;0,000;0,000;1,000;1,000;0,000;0,000;74,693
HC.1.2 Tagesfälle der kurativen Gesundheitsversorgung;73,693;37,846;35,847;35,847;0,000;0,000;0,000;0,000;0,000;1,000;1,000;0,000;0,000;74,693
HC.1.3+HC.2.3 Ambulante kurative und rehabilitative Gesundheitsversorgung;4038,924;746,409;3292,514;3292,514;0,000;116,559;96,885;19,674;0,000;1742,388;1576,879;165,509;0,000;5897,870
HC.1.3 Ambulante kurative Gesundheitsversorgung;3874,245;692,937;3181,308;3181,308;0,000;96,912;96,885;0,027;0,000;1561,361;1395,852;165,509;0,000;5532,518
HC.1.3.1 Allgemeine ambulante Gesundheitsversorgung;920,214;98,655;821,559;821,559;0,000;4,528;4,528;0,000;0,000;233,355;154,018;79,337;0,000;1158,097
HC.1.3.2 Ambulante zahnärztliche Gesundheitsversorgung;746,820;37,580;709,240;709,240;0,000;48,106;48,106;0,000;0,000;772,309;738,922;33,387;0,000;1567,235
HC.1.3.3 Spezialisierte ambulante Gesundheitsversorgung;2132,802;543,400;1589,402;1589,402;0,000;44,251;44,251;0,000;0,000;395,781;342,997;52,784;0,000;2572,835
HC.1.3.9 Sonstige ambulante kurative Gesundheitsversorgung;74,409;13,302;61,106;61,106;0,000;0,027;0,000;0,027;0,000;159,915;159,915;0,000;0,000;234,351
HC.2.3 Ambulante rehabilitative Gesundheitsversorgung;164,678;53,472;111,206;111,206;0,000;19,647;0,000;19,647;0,000;181,027;181,027;0,000;0,000;365,352
HC.1.4+HC.2.4 Häusliche kurative und rehabilitative Gesundheitsversorgung;10,458;0,943;9,515;9,515;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;10,458
HC.1.4 Häusliche kurative Gesundheitsversorgung;10,458;0,943;9,515;9,515;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;10,458
HC.3.1 Stationäre Langzeitpflege;948,741;948,741;0,000;0,000;0,000;0,000;0,000;0,000;0,000;522,992;522,992;0,000;0,000;1471,733
HC.3.2 Tagesfälle der Langzeitpflege;5,381;5,381;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;5,381
HC.3.4 Häusliche Langzeitpflege;1486,039;1473,803;12,236;12,236;0,000;39,711;0,000;39,711;0,000;21,601;21,601;0,000;0,000;1547,351
HC.4.1 Klinische Labore;110,616;0,043;110,573;110,573;0,000;0,000;0,000;0,000;0,000;34,226;34,226;0,000;0,000;144,842
HC.4.2 Bildgebende Diagnoseverfahren;176,144;0,112;176,032;176,032;0,000;0,000;0,000;0,000;0,000;54,487;54,487;0,000;0,000;230,631
HC.4.3 Patiententransporte;200,854;36,436;164,418;164,418;0,000;133,839;0,000;133,839;0,000;21,759;16,541;5,218;0,000;356,453
HC.5.1 Arzneimittel und sonstige medizinische Verbrauchsgüter;2141,016;0,000;2141,016;2141,016;0,000;10,774;10,774;0,000;0,000;979,662;648,103;331,559;0,000;3131,451
HC.5.1.1 Verschriebene Arzneimittel;2141,016;0,000;2141,016;2141,016;0,000;3,646;3,646;0,000;0,000;331,559;0,000;331,559;0,000;2476,221
HC.5.1.2 Rezeptfreie Arzneimittel;0,000;0,000;0,000;0,000;0,000;6,440;6,440;0,000;0,000;585,558;585,558;0,000;0,000;591,998
